,PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
224,JOHN J CARTY PARK,BROOKLYN     ,8.565,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,COFFEY PARK,BROOKLYN     ,8.271,ONE ACRE OR LARGER,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
226,BARRETT PARK,STATEN ISLAND,8.108,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,RAINEY PARK QUEENS,QUEENS       ,8.09,ONE ACRE OR LARGER,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
228,LAGUARDIA LANDING LIGHTS,QUEENS       ,8.03,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,CITY ISLAND WETLANDS,BRONX        ,8.005,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,SARA D. ROOSEVELT PARK,MANHATTAN    ,7.85,ONE ACRE OR LARGER,0.0,0.0,3.0,5.0,0.0,7.0,0.0,15.0
231,EWEN PARK,BRONX        ,7.84,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
232,HERBERT VON KING PARK,BROOKLYN     ,7.819,ONE ACRE OR LARGER,1.0,0.0,1.0,0.0,0.0,7.0,0.0,9.0
233,MOUNT PROSPECT PARK,BROOKLYN     ,7.79,ONE ACRE OR LARGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,RAINEY PARK BRONX,BRONX        ,7.738,ONE ACRE OR LARGER,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
